
Q1. Clean the below data set in R software. Replace mean/median in the place of missing observation
Q2. Create two separate data frame in R for HR in UTC (8:30 AM and 17:30 PM) for mean wind speed from 1984 to 2008



MONTHLY SURFACE TAB3 DATA :
-------------------------
  INDEX = INDEX NO. OF THE STATION
  YEAR  = YEAR
  MN    = MONTH
  HR    = HOUR IN UTC ( 03 UTC = 0830 IST, 12 UTC = 1730 IST)
  RH    = MEAN RELATIVE HUMIDITY IN %
  NO    = No. OF OBSERVATIONS IN THE MONTH
  MWS   = MEAN WIND SPEED IN KMPH AT THE TIME OF OBSERVATION
  W1    = NO. OF DAYS WITH WIND SPEED >= 62 kmph
  W2    = NO. OF DAYS WITH WIND SPEED 20 - 61 kmph
  W3    = NO. OF DAYS WITH WIND SPEED 01 - 19 kmph
  W4    = NO. OF DAYS WITH CALM WIND
  N     = NO. OF DAYS WITH WIND FROM NORTHERLY DIRECTION
  NE    = NO. OF DAYS WITH WIND FROM NORTH EASTERLY DIRECTION
  E     = NO. OF DAYS WITH WIND FROM EASTERLY DIRECTION
  SE    = NO. OF DAYS WITH WIND FROM SOUTH EASTERLY DIRECTION
  S     = NO. OF DAYS WITH WIND FROM SOUTHERLY DIRECTION
  SW    = NO. OF DAYS WITH WIND FROM SOUTH WESTERLY DIRECTION
  W     = NO. OF DAYS WITH WIND FROM WESTERLY DIRECTION
  NW    = NO. OF DAYS WITH WIND FROM NORTH WESTERLY DIRECTION
  CA    = NO. OF DAYS WITH CALM WIND
  VR    = NO. OF DAYS WITH VARIABLE WIND DIRECTION

----------------------------------------------------------------------------
INDEX YEAR MN HR .RH NO .MWS W1 W2 W3 W4 NO .N NE .E SE .S SW .W NW CA VA NO
----------------------------------------------------------------------------
42943 1984 01 03  67 31  4.5  0  0 28  3 31  0  6 14  2  2  0  2  2  3  0 31
42943 1984 01 12  42 31  5.4  0  0 29  2 31  4  4  4  4  5  4  2  2  2  0 31
42943 1984 02 03  50 29  5.8  0  0 28  1 29  2 12  6  1  1  2  3  1  1  0 29
42943 1984 02 12  29 28  6.4  0  1 28  0 29  5 10  3  2  3  4  0  2  0  0 29
42943 1984 03 03  21 31  4.9  0  0 31  0 31  4  6 10  3  3  1  2  2  0  0 31
42943 1984 03 12  12 31  5.6  0  0 31  0 31 11  7  1  0  1  2  5  4  0  0 31
42943 1984 04 03  24 29 10.2  0  0 29  0 29  1  2  2  1  3  7  8  5  0  0 29
42943 1984 04 12  10 30  8.9  0  2 28  0 30  3  5  2  1  1  3 10  5  0  0 30
42943 1984 05 03  20 31 15.4  0  8 23  0 31  2  1  0  0  0  1 14 13  0  0 31
42943 1984 05 12   9 31 15.1  0 10 21  0 31  3  1  1  0  0  2 17  7  0  0 31
42943 1984 06 03  64 30 17.7  0 13 17  0 30  1  0  0  1  0  5 19  4  0  0 30
42943 1984 06 12  42 30 13.6  0  4 26  0 30  3  1  2  1  2  3 14  4  0  0 30
42943 1984 07 03  79 31 14.3  0  2 29  0 31  1  0  0  0  0  6 14 10  0  0 31
42943 1984 07 12  66 31 10.7  0  0 30  1 31  0  0  0  0  1  4 16  9  1  0 31
42943 1984 08 03  81 31 15.6  0  7 24  0 31  0  0  0  0  0  6 20  5  0  0 31
42943 1984 08 12  69 31 12.0  0  3 28  0 31  1  0  0  0  0  3 20  7  0  0 31
42943 1984 09 03  70 30 10.7  0  2 27  1 30  5  2  1  0  1  1 12  7  1  0 30
42943 1984 09 12  52 30 10.8  0  0 30  0 30  4  4  3  2  0  2 11  4  0  0 30
42943 1984 10 03  58 30  6.8  0  0 30  0 30  7  5  4  2  1  1  4  6  0  0 30
42943 1984 10 12  43 31  6.7  0  0 29  2 31  9  9  3  1  1  0  0  6  2  0 31
42943 1984 11 03  37 22  6.4  0  0 22  0 22  4  7  7  2  1  0  1  0  0  0 22
42943 1984 11 12  25 24  6.6  0  0 24  0 24  5 13  6  0  0  0  0  0  0  0 24
42943 1984 12 03  38 31  7.5  0  0 31  0 31  2 12 11  2  2  1  0  1  0  0 31
42943 1984 12 12  26 31  5.6  0  0 31  0 31  9 15  1  0  1  0  0  5  0  0 31
42943 1985 01 03  64 31  6.7  0  0 31  0 31  3 11  8  3  2  2  1  1  0  0 31
42943 1985 01 12  51 31  6.4  0  0 31  0 31  3  6  3  3  3  6  3  4  0  0 31
42943 1985 02 03  62 27  7.2  0  0 27  0 27  7 10  5  3  1  0  0  1  0  0 27
42943 1985 02 12  49 26  6.8  0  0 27  0 27  9  6  1  0  0  2  4  5  0  0 27
42943 1985 03 03  42 31  6.5  0  0 31  0 31  5  6  1  1  4  2  6  6  0  0 31
42943 1985 03 12  13 31  8.0  0  0 31  0 31  6  6  1  2  0  0 10  6  0  0 31
42943 1985 04 03  33 30 12.2  0  1 29  0 30 10  2  1  3  1  0  5  8  0  0 30
42943 1985 04 12  11 30 10.8  0  1 29  0 30  5  1  2  1  2  1 13  5  0  0 30
42943 1985 05 03  33 30 16.9  0  8 23  0 31  2  0  0  0  3  5 11 10  0  0 31
42943 1985 05 12  15 31 13.2  0  7 24  0 31  2  2  1  2  3  3 11  7  0  0 31
42943 1985 06 03  65 30 23.7  0 22  8  0 30  0  0  0  0  1  2 17 10  0  0 30
42943 1985 06 12  46 29 17.5  0 11 19  0 30  2  2  1  1  2  3 14  5  0  0 30
42943 1985 07 03  80 31 17.7  0 10 21  0 31  0  0  0  0  0  9 17  5  0  0 31
42943 1985 07 12  64 31 13.9  0  5 26  0 31  3  1  0  1  0  3 14  9  0  0 31
42943 1985 08 03  81 31 14.7  0  5 26  0 31  0  0  0  0  0  3 22  6  0  0 31
42943 1985 08 12  70 31 11.9  0  1 30  0 31  3  0  0  0  0  1 18  9  0  0 31
42943 1985 09 03  72 30 12.7  0  1 29  0 30  1  1  0  1  3  2 18  4  0  0 30
42943 1985 09 12  54 29  9.5  0  0 29  0 29  8  4  0  1  1  0  7  8  0  0 29
42943 1985 10 03  66 31  7.8  0  0 31  0 31  7  7  3  4  3  2  3  2  0  0 31
42943 1985 10 12  51 30  6.9  0  0 30  0 30  6 15  3  2  1  0  1  2  0  0 30
42943 1985 11 03  41 30  6.1  0  0 30  0 30  4 13  6  3  2  1  1  0  0  0 30
42943 1985 11 12  33 30  7.0  0  0 30  0 30  6 22  2  0  0  0  0  0  0  0 30
42943 1985 12 03  46 31  6.5  0  0 31  0 31  2  7 17  1  3  1  0  0  0  0 31
42943 1985 12 12  34 31  4.9  0  0 31  0 31  5 16  3  0  2  0  2  3  0  0 31
42943 1986 01 03  51 30  7.2  0  0 30  0 30  2 10  8  5  3  2  0  0  0  0 30
42943 1986 01 12  26 30  6.3  0  0 31  0 31  2 13  5  5  3  2  1  0  0  0 31
42943 1986 02 03  66 28  8.1  0  1 27  0 28  1 10 11  2  0  2  2  0  0  0 28
42943 1986 02 12  39 28  8.4  0  0 28  0 28  2  5  6  6  1  1  4  3  0  0 28
42943 1986 03 03  46 30  8.3  0  1 29  0 30  2  8  9  2  1  2  3  3  0  0 30
42943 1986 03 12  31 29  7.4  0  0 29  0 29  2  5  4  2  1  3  9  3  0  0 29
42943 1986 04 03      6       0  0  6  0  6  1  0  0  0  0  3  2  0  0  0  6
42943 1986 04 12      6       0  0  6  0  6  1  0  0  0  0  1  3  1  0  0  6
42943 1986 05 03  28 31 12.8  0  6 25  0 31  6  0  2  1  0  2 10 10  0  0 31
42943 1986 05 12  13 30 13.6  0  3 28  0 31  6  2  3  1  0  1  9  9  0  0 31
42943 1986 06 03  65 30 12.7  0  3 27  0 30  2  0  1  0  0  7 17  3  0  0 30
42943 1986 06 12  51 28 10.2  0  2 28  0 30  3  3  2  0  1  4 13  4  0  0 30
42943 1986 07 03  79 30 15.2  0  7 23  0 30  0  0  0  0  0  4 24  2  0  0 30
42943 1986 07 12  63 31 12.7  0  2 29  0 31  3  0  0  1  0  1 21  5  0  0 31
42943 1986 08 03  81 30 13.8  0  6 24  0 30  1  0  0  1  0  2 23  3  0  0 30
42943 1986 08 12  67 30 11.8  0  2 28  0 30  1  1  0  0  2  0 19  7  0  0 30
42943 1986 09 03  68 30  8.4  0  0 30  0 30  5  4  0  0  0  0 14  7  0  0 30
42943 1986 09 12  52 30  7.3  0  0 30  0 30  6  5  1  0  1  2  8  7  0  0 30
42943 1986 10 03  49 29  6.5  0  0 29  0 29  5  9  3  2  3  1  3  3  0  0 29
42943 1986 10 12  33 31  5.9  0  0 31  0 31  5 11  7  3  0  1  3  1  0  0 31
42943 1986 11 03  51 30  6.3  0  0 30  0 30  3 10 10  1  1  2  2  1  0  0 30
42943 1986 11 12  37 30  6.5  0  0 30  0 30  6 11  9  0  0  0  1  3  0  0 30
42943 1986 12 03  56 30  7.0  0  0 30  0 30  1  9 10  4  4  1  0  1  0  0 30
42943 1986 12 12  42 31  5.5  0  0 31  0 31  5 11  5  4  2  2  1  1  0  0 31
42943 1987 01 03  62 31  7.6  0  0 31  0 31  1  8 15  4  1  0  1  1  0  0 31
42943 1987 01 12  44 31  7.5  0  0 31  0 31  8 13  7  1  0  0  0  2  0  0 31
42943 1987 02 03  47 28  6.4  0  0 28  0 28  3  9  8  2  1  2  1  2  0  0 28
42943 1987 02 12  21 28  6.2  0  0 28  0 28  6  6  5  2  2  2  2  3  0  0 28
42943 1987 03 03  34 31  7.8  0  0 31  0 31  4  5  6  4  2  3  4  3  0  0 31
42943 1987 03 12  17 31  9.6  0  0 31  0 31  2  6  4  2  1  1 10  5  0  0 31
42943 1987 04 03  21 30 12.6  0  2 28  0 30  4  3  1  1  3  5  8  5  0  0 30
42943 1987 04 12  10 30 12.8  0  8 22  0 30  2  5  1  2  1  1 15  3  0  0 30
42943 1987 05 03  34 31 12.9  0  3 28  0 31  6  0  0  1  3  5 10  6  0  0 31
42943 1987 05 12  17 31 11.3  0  4 27  0 31  5  5  3  2  0  2  8  6  0  0 31
42943 1987 06 03  60 30 16.5  0 10 20  0 30  1  0  0  1  1  2 19  6  0  0 30
42943 1987 06 12  39 30 13.5  0  6 24  0 30  4  2  1  1  1  2 15  4  0  0 30
42943 1987 07 03  80 31 19.4  0 14 17  0 31  0  0  0  0  0  4 23  4  0  0 31
42943 1987 07 12  66 31 15.8  0 11 20  0 31  1  1  0  2  4  2 18  3  0  0 31
42943 1987 08 03  83 31 17.5  0 15 16  0 31  2  0  0  0  2  3 19  5  0  0 31
42943 1987 08 12  75 31 16.5  0 10 21  0 31  1  0  1  0  2  5 19  3  0  0 31
42943 1987 09 03  72 30 15.0  0  7 23  0 30  0  0  1  0  1  2 18  8  0  0 30
42943 1987 09 12  57 30 11.6  0  1 29  0 30  3  1  2  1  0  0 15  8  0  0 30
42943 1987 10 03  66 31  7.2  0  0 31  0 31  3  9  6  6  2  3  2  0  0  0 31
42943 1987 10 12  53 31  6.8  0  1 30  0 31  3  7 13  2  3  0  1  2  0  0 31
42943 1987 11 03  65 30  5.8  0  0 30  0 30  6 15  6  2  0  1  0  0  0  0 30
42943 1987 11 12  59 30  5.6  0  0 30  0 30  1 11 13  1  1  1  0  2  0  0 30
42943 1987 12 03  53 31  9.3  0  0 31  0 31  2 15 12  1  0  1  0  0  0  0 31
42943 1987 12 12  43 31  7.3  0  0 31  0 31  2 18  9  0  1  0  0  1  0  0 31
42943 1988 01 03  55 31  7.8  0  0 31  0 31  0  9 13  4  3  1  0  1  0  0 31
42943 1988 01 12  37 31  6.6  0  0 31  0 31  4  8  3  3  0  3  5  5  0  0 31
42943 1988 02 03  47 28  9.3  0  0 29  0 29  2  9  5  2  3  3  4  1  0  0 29
42943 1988 02 12  30 29  9.0  0  0 29  0 29  4  4  3  4  3  2  6  3  0  0 29
42943 1988 03 03  31 31 12.3  0  4 27  0 31  3  4  5  1  1  2  8  7  0  0 31
42943 1988 03 12  16 31 14.1  0  7 24  0 31  2  0  1  1  1  3 18  5  0  0 31
42943 1988 04 03  34 30 13.3  0  4 26  0 30  1  2  3  4  3  8  7  2  0  0 30
42943 1988 04 12  25 30 13.9  0  4 26  0 30  2  3  5  3  2  2  8  5  0  0 30
42943 1988 05 03  26 31 20.5  0 21 10  0 31  4  1  1  0  0  1 13 11  0  0 31
42943 1988 05 12  17 31 18.2  0 13 18  0 31  5  3  0  1  1  1 16  4  0  0 31
42943 1988 06 03  66 30 20.1  0 17 13  0 30  1  0  0  0  2  7 15  5  0  0 30
42943 1988 06 12  49 30 17.8  0 13 17  0 30  1  2  1  0  3  7 11  5  0  0 30
42943 1988 07 03  87 31                   0  1  0  0  0  1 11 15  3  0  0 31
42943 1988 07 12  82 31                   0  0  0  1  1  3  6 17  3  0  0 31
42943 1988 08 03  86 31                   0  0  0  0  0  0  3 21  7  0  0 31
42943 1988 08 12  75 30                   0  1  1  0  0  1  5 17  5  0  0 30
42943 1988 09 03  86 30  9.9  0  1 29  0 30  2  2  4  2  4  3 10  3  0  0 30
42943 1988 09 12  79 30  7.6  0  0 30  0 30  3  5  7  4  3  2  4  2  0  0 30
42943 1988 10 03  64 31  7.2  0  0 31  0 31  6  3  2  1  2  1  8  8  0  0 31
42943 1988 10 12  51 31  6.1  0  0 31  0 31  6 10  2  1  2  1  5  4  0  0 31
42943 1988 11 03  48 30  5.1  0  0 30  0 30  7 11  7  3  1  0  0  1  0  0 30
42943 1988 11 12  40 30  5.4  0  0 30  0 30  3 18  7  0  0  0  1  1  0  0 30
42943 1988 12 03  45 31  6.0  0  0 31  0 31  2 11 13  1  2  1  1  0  0  0 31
42943 1988 12 12  33 31  5.4  0  0 31  0 31  5 13  9  1  1  2  0  0  0  0 31
42943 1989 01 03  40 31  7.5  0  0 31  0 31  0  9 12  2  2  1  3  2  0  0 31
42943 1989 01 12  28 31  5.3  0  0 31  0 31  7  9  5  1  2  1  4  2  0  0 31
42943 1989 02 03  28 28  7.6  0  0 28  0 28  3  6  5  0  0  0  8  6  0  0 28
42943 1989 02 12  14 28  8.4  0  0 28  0 28  5  1  3  0  1  2 11  5  0  0 28
42943 1989 04 03  20 30  9.7  0  2 28  0 30  7  2  2  0  1  3  9  6  0  0 30
42943 1989 04 12  12 30 10.6  0  2 28  0 30  5  3  1  2  0  2 11  6  0  0 30
42943 1989 05 03  36 31 15.4  0 10 21  0 31  7  1  1  0  0  0 12 10  0  0 31
42943 1989 05 12  22 31 12.0  0  5 26  0 31  6  4  1  1  0  0 10  9  0  0 31
42943 1989 06 03  69 30       0  3  1  0  4  0  0  0  0  1  2 25  2  0  0 30
42943 1989 06 12  53 30       0  0  6  0  6  3  3  0  0  0  5 16  3  0  0 30
42943 1989 07 03  82 31 15.1  0 10 21  0 31  1  0  1  0  3  1 20  5  0  0 31
42943 1989 07 12  69 31 12.0  0  1 29  0 30  4  0  2  0  2  5 13  5  0  0 31
42943 1989 08 03  87 31 16.9  0 12 19  0 31  1  0  0  0  0  1 24  5  0  0 31
42943 1989 08 12  80 31 15.3  0  7 24  0 31  1  0  0  0  0  2 23  5  0  0 31
42943 1989 09 03  79 30 10.6  0  1 29  0 30  1  0  0  0  1  2 19  7  0  0 30
42943 1989 09 12  67 30  9.1  0  0 30  0 30  2  5  2  2  2  1 12  4  0  0 30
42943 1989 10 03  50 31  6.3  0  0 31  0 31  4  8  5  1  1  1  6  5  0  0 31
42943 1989 10 12  43 31  5.6  0  0 31  0 31  5 13  8  1  0  0  2  2  0  0 31
42943 1989 11 03  43 29  6.0  0  0 29  0 29  4  9  8  0  1  4  2  1  0  0 29
42943 1989 11 12  35 30  5.8  0  0 30  0 30  2 12 13  3  0  0  0  0  0  0 30
42943 1989 12 03  52 31  8.2  0  0 31  0 31  2  9 15  2  2  0  1  0  0  0 31
42943 1989 12 12  40 31  7.0  0  0 31  0 31  3 15  6  1  3  1  1  1  0  0 31
42943 1990 01 03  49 31  5.2  0  0 31  0 31  5 12  8  0  1  0  3  2  0  0 31
42943 1990 01 12  30 30  5.5  0  0 31  0 31  5 15  6  1  0  0  2  2  0  0 31
42943 1990 02 03  46 27  7.7  0  0 28  0 28  4  5  7  2  2  2  3  3  0  0 28
42943 1990 02 12  28 28  8.5  0  1 27  0 28  5  2  3  0  3  5  7  3  0  0 28
42943 1990 03 03  38 31  8.7  0  0 31  0 31  4  6  8  3  0  1  7  2  0  0 31
42943 1990 03 12  27 31 10.3  0  3 28  0 31  3  4  3  0  2  5 10  4  0  0 31
42943 1990 04 03  22 30 13.9  0  6 24  0 30  5  5  0  2  2  1 12  3  0  0 30
42943 1990 04 12  12 29 14.8  0  8 21  0 29  3  3  1  0  1  0 17  4  0  0 29
42943 1990 05 03  58 31 18.4  0 15 16  0 31  1  2  2  1  2  2 18  3  0  0 31
42943 1990 05 12  42 31 12.5  0  7 24  0 31  4  4  3  4  4  1  6  5  0  0 31
42943 1990 06 03  76 30 18.7  0 21  9  0 30  0  0  0  0  1  2 26  1  0  0 30
42943 1990 06 12  62 30 16.6  0 12 18  0 30  2  3  1  1  1  3 16  3  0  0 30
42943 1990 07 03  83 31 16.7  0 15 16  0 31  0  0  0  0  0  5 26  0  0  0 31
42943 1990 07 12  71 31 13.2  0  8 23  0 31  0  0  0  0  1  6 22  2  0  0 31
42943 1990 08 03  86 29 13.5  0  6 23  0 29  1  0  0  1  0  4 20  3  0  0 29
42943 1990 08 12  75 31 11.4  0  1 30  0 31  1  1  0  0  1  2 23  3  0  0 31
42943 1990 09 03  82 30 12.1  0  2 28  0 30  0  0  0  0  1  2 24  3  0  0 30
42943 1990 09 12  67 30  9.9  0  0 30  0 30  1  1  1  1  0  0 21  5  0  0 30
42943 1990 10 03  74 31  6.9  0  0 31  0 31  3  7  5  3  3  2  5  3  0  0 31
42943 1990 10 12  68 31  6.1  0  0 31  0 31  4 12  6  1  0  1  5  2  0  0 31
42943 1990 11 03  58 30  6.1  0  0 30  0 30  5 11 12  0  0  1  0  1  0  0 30
42943 1990 11 12  53 30  5.0  0  0 30  0 30  7 14  6  0  0  1  0  2  0  0 30
42943 1990 12 03  65 31  6.6  0  0 31  0 31  1  9 16  2  1  0  2  0  0  0 31
42943 1990 12 12  47 31  5.6  0  0 31  0 31  3 12 10  2  0  1  2  1  0  0 31
42943 1991 01 03  55 31  6.7  0  0 31  0 31  2  9 11  4  1  1  2  1  0  0 31
42943 1991 01 12  37 31  5.7  0  0 31  0 31  2 12  7  1  2  1  5  1  0  0 31
42943 1991 02 03  42 28  6.5  0  0 28  0 28  4  3  4  2  5  3  5  2  0  0 28
42943 1991 02 12  24 28  6.2  0  0 28  0 28  4  1  1  1  4  5 10  2  0  0 28
42943 1991 03 03  39 31  7.2  0  1 30  0 31  4  2  9  4  4  1  5  2  0  0 31
42943 1991 03 12  18 31  7.0  0  0 31  0 31  6  4  3  0  1  4 10  3  0  0 31
42943 1991 04 03  34 30  6.5  0  0 30  0 30  8  5  3  0  2  3  7  2  0  0 30
42943 1991 04 12  22 30  6.3  0  0 30  0 30  6  1  3  0  2  0 16  2  0  0 30
42943 1991 05 03  35 31 15.3  0 11 20  0 31  3  1  0  0  1  1 20  5  0  0 31
42943 1991 05 12  15 31 12.5  0  7 24  0 31  7  1  1  1  1  0 17  3  0  0 31
42943 1991 06 03  69 30 14.4  0  7 23  0 30  0  1  2  4  3  1 17  2  0  0 30
42943 1991 06 12  51 30 12.2  0  4 26  0 30  0  5  3  2  3  0 16  1  0  0 30
42943 1991 07 03  83 30 14.2  0  7 23  0 30  0  0  0  0  0  5 24  1  0  0 30
42943 1991 07 12  70 29 13.1  0  4 25  0 29  1  0  0  0  2  5 20  1  0  0 29
